meal_name,Carbs,Proteins,Fats,Calories,Meal_Time,p_ratio,c_ratio,f_ratio,Food_Cluster,Meal_Plan
barley flour,110.3,15.5,2.4,511.0,Snack,0.12090483619344775,0.8603744149765992,0.0187207488299532,1,HIIT
safflower seed meal,13.8,10.1,0.7,97.0,Snack,0.4105691056910569,0.5609756097560976,0.02845528455284553,4,Endurance
sesame flour,33.3,38.5,46.4,658.0,Dinner,0.3257191201353638,0.2817258883248731,0.39255499153976314,0,Weight Loss
whole grain wheat flour,86.4,15.9,3.0,408.0,Lunch,0.150997150997151,0.8205128205128205,0.028490028490028487,1,HIIT
corn flour yellow,89.9,8.1,4.5,422.0,Breakfast,0.07902439024390244,0.8770731707317073,0.04390243902439024,1,HIIT
corn flour whole grain,89.9,8.1,4.5,422.0,Breakfast,0.07902439024390244,0.8770731707317073,0.04390243902439024,1,HIIT
cottonseed flour low fat,10.2,14.1,0.4,94.0,Snack,0.5708502024291499,0.4129554655870446,0.01619433198380567,2,Build Muscle
sesame meal,7.4,4.8,13.6,160.0,Snack,0.186046511627907,0.28682170542635665,0.5271317829457365,0,Weight Loss
acorn flour,68.3,9.4,37.7,626.0,Breakfast,0.08145580589254765,0.5918544194107451,0.3266897746967071,4,Endurance
rice flour white,126.6,9.4,2.2,578.0,Lunch,0.06801736613603473,0.9160636758321273,0.015918958031837918,1,HIIT
sesame flour low fat,10.0,14.2,0.5,94.0,Snack,0.5748987854251012,0.4048582995951417,0.020242914979757085,2,Build Muscle
potato flour,133.0,11.0,0.5,571.0,Lunch,0.07612456747404844,0.9204152249134948,0.0034602076124567475,1,HIIT
cornmeal yellow,124.7,11.2,2.7,581.0,Lunch,0.0808080808080808,0.8997113997113998,0.019480519480519484,1,HIIT
rye flour,78.2,10.0,1.4,364.0,Lunch,0.11160714285714285,0.8727678571428571,0.015624999999999998,1,HIIT
arrowroot flour,112.8,0.4,0.1,457.0,Breakfast,0.00353045013239188,0.9955869373345102,0.00088261253309797,1,HIIT
chickpea flour,53.2,20.6,6.2,356.0,Lunch,0.25749999999999995,0.6649999999999999,0.07749999999999999,1,HIIT
wheat flour,95.4,12.9,1.2,455.0,Lunch,0.11780821917808218,0.8712328767123287,0.01095890410958904,1,HIIT
cornstarch,116.8,0.3,0.03,488.0,Breakfast,0.0025612567232988987,0.9971826176043712,0.00025612567232988985,1,HIIT
buckwheat flour,84.7,15.1,3.7,402.0,Lunch,0.14589371980676327,0.8183574879227054,0.035748792270531404,1,HIIT
pecan pie,63.7,6.0,27.1,503.0,Breakfast,0.06198347107438016,0.6580578512396694,0.2799586776859504,4,Endurance
apple pie,46.4,3.0,15.6,331.0,Snack,0.046153846153846156,0.7138461538461538,0.24,4,Endurance
chocolate pie crust,117.4,11.1,40.8,881.0,Snack,0.06556408741878322,0.6934435912581217,0.24099232132309506,4,Endurance
apple strudel,29.2,2.3,8.0,195.0,Snack,0.05822784810126582,0.7392405063291139,0.20253164556962025,1,HIIT
chocolate snack cake,30.2,1.8,8.0,200.0,Snack,0.045,0.755,0.2,1,HIIT
fruit fried pie,54.5,3.8,20.6,404.0,Snack,0.04816223067173637,0.6907477820025348,0.26108998732572875,4,Endurance
pumpkin pie,40.9,7.0,14.4,316.0,Breakfast,0.11235955056179776,0.6565008025682183,0.23113964686998398,4,Endurance
sponge snack cake,26.9,1.5,4.8,157.0,Snack,0.04518072289156627,0.8102409638554218,0.14457831325301207,1,HIIT
danish pastry with nuts,29.7,4.6,16.4,280.0,Snack,0.09072978303747535,0.5857988165680473,0.3234714003944773,4,Endurance
chocolate cream pie,33.3,2.6,19.2,301.0,Snack,0.047186932849364795,0.604355716878403,0.34845735027223235,4,Endurance
angel food cake,16.2,1.7,0.2,72.0,Snack,0.09392265193370167,0.8950276243093923,0.011049723756906079,1,HIIT
lemon meringue pie,49.7,4.8,16.4,362.0,Breakfast,0.06770098730606487,0.7009873060648801,0.23131170662905498,4,Endurance
danish pastry with cinnamon,46.9,4.8,16.7,349.0,Breakfast,0.07017543859649124,0.6856725146198831,0.24415204678362576,4,Endurance
cinnamon coffeecake,26.6,3.9,13.3,238.0,Breakfast,0.08904109589041097,0.6073059360730594,0.3036529680365297,4,Endurance
cheesecake,20.4,4.4,18.0,257.0,Lunch,0.10280373831775702,0.4766355140186916,0.42056074766355145,4,Endurance
fruitcake,26.5,1.2,3.9,139.0,Snack,0.0379746835443038,0.8386075949367089,0.12341772151898735,1,HIIT
egg custard,31.0,14.2,12.9,293.0,Breakfast,0.2444061962134251,0.5335628227194492,0.22203098106712565,4,Endurance
mince pie,79.2,4.3,17.8,477.0,Breakfast,0.04244817374136229,0.7818361303060217,0.175715695952616,1,HIIT
yellow cake with chocolate frosting,79.7,4.6,25.6,546.0,Snack,0.04185623293903548,0.7252047315741583,0.2329390354868062,4,Endurance
danish pastry with fruit,45.1,4.8,15.9,335.0,Snack,0.0729483282674772,0.6854103343465046,0.24164133738601826,4,Endurance
white cake with coconut frosting,70.8,4.9,11.5,399.0,Snack,0.05619266055045872,0.8119266055045871,0.13188073394495411,1,HIIT
danish pastry with cheese,28.7,5.8,24.6,353.0,Lunch,0.09813874788494077,0.4856175972927242,0.41624365482233505,4,Endurance
